# Wavelength (um), Band width (um), Rp/Rs, Rp/R* error
@wfc3_g141
1.126, 0.031, 0.08377, 0.00025
1.156, 0.029, 0.08358, 0.00023
1.185, 0.028, 0.08301, 0.00023
1.212, 0.027, 0.08358, 0.00023
1.239, 0.026, 0.08375, 0.00023
1.266, 0.027, 0.08322, 0.00021
1.292, 0.027, 0.08377, 0.00021
1.319, 0.026, 0.08346, 0.00020
1.345, 0.026, 0.08328, 0.00022
1.372, 0.027, 0.08332, 0.00022
1.400, 0.028, 0.08345, 0.00022
1.428, 0.028, 0.08359, 0.00022
1.457, 0.029, 0.08321, 0.00022
1.487, 0.031, 0.08304, 0.00021
1.519, 0.032, 0.08359, 0.00019
1.551, 0.034, 0.08330, 0.00020
1.586, 0.036, 0.08318, 0.00018
1.624, 0.039, 0.08328, 0.00020
