# Wavelength (um),Band half width (um), Rp/Rs, Rp/R* error
@wfc3_g141
1.1530, 0.0094, 0.059178, 0.000338
1.1720, 0.0094, 0.058370, 0.000403
1.1900, 0.0094, 0.058489, 0.000393
1.2090, 0.0094, 0.058694, 0.000324
1.2280, 0.0094, 0.057879, 0.000354
1.2470, 0.0094, 0.058112, 0.000327
1.2660, 0.0094, 0.058138, 0.000387
1.2840, 0.0094, 0.058796, 0.000340
1.3030, 0.0094, 0.058617, 0.000299
1.3220, 0.0094, 0.058720, 0.000332
1.3410, 0.0094, 0.058958, 0.000365
1.3600, 0.0094, 0.059464, 0.000370
1.3790, 0.0094, 0.059152, 0.000389
1.3970, 0.0094, 0.059144, 0.000338
1.4160, 0.0094, 0.059363, 0.000345
1.4350, 0.0094, 0.059925, 0.000367
1.4540, 0.0094, 0.059363, 0.000362
1.4730, 0.0094, 0.059330, 0.000329
1.4920, 0.0094, 0.058711, 0.000332
1.5100, 0.0094, 0.057827, 0.000389
1.5290, 0.0094, 0.059271, 0.000346
1.5480, 0.0094, 0.058915, 0.000424
1.5670, 0.0094, 0.058634, 0.000418
1.5860, 0.0094, 0.058429, 0.000454
1.6040, 0.0094, 0.058164, 0.000387
1.6230, 0.0094, 0.058438, 0.000325
1.6420, 0.0094, 0.058992, 0.000407
1.6610, 0.0094, 0.059144, 0.000507
1.6800, 0.0094, 0.058103, 0.000637
@irac
3.6000, 0.5000, 0.058172, 0.000172
4.5000, 0.5000, 0.057991, 0.000233
