# Wavelength (um),Band half width (um), Rp/Rs, Rp/R* error
@stis_430l
0.3800, 0.0300, 0.14425, 0.00170
0.4250, 0.0150, 0.14101, 0.00091
0.4550, 0.0150, 0.14236, 0.00061
0.4825, 0.0125, 0.14159, 0.00083
0.5075, 0.0125, 0.14107, 0.00098
0.5300, 0.0100, 0.14182, 0.00065
@stis_750l
0.5575, 0.0175, 0.14115, 0.00074
0.5684, 0.0184, 0.14035, 0.00091
0.5893, 0.0025, 0.14182, 0.00203
0.6059, 0.0141, 0.13937, 0.00105
0.6400, 0.0200, 0.14068, 0.00096
0.6850, 0.0250, 0.13883, 0.00069
0.7367, 0.0267, 0.14085, 0.00131
0.7684, 0.0050, 0.14443, 0.00269
0.8067, 0.0333, 0.13811, 0.00114
0.8750, 0.0350, 0.14056, 0.00130
0.9650, 0.0550, 0.13696, 0.00122
@wfc3_g141
1.1320, 0.0231, 0.13559, 0.00170
1.1784, 0.0228, 0.13756, 0.00157
1.2248, 0.0225, 0.13905, 0.00146
1.2712, 0.0223, 0.13574, 0.00149
1.3176, 0.0221, 0.13808, 0.00143
1.3640, 0.0219, 0.13748, 0.00133
1.4104, 0.0217, 0.13610, 0.00134
1.4568, 0.0215, 0.13861, 0.00137
1.5032, 0.0214, 0.13635, 0.00142
1.5496, 0.0212, 0.13483, 0.00143
1.5960, 0.0211, 0.13490, 0.00146
1.6424, 0.0209, 0.13757, 0.00149
@irac
3.5600, 0.3800, 0.13529, 0.00058
4.5000, 0.5600, 0.13802, 0.00103
