# Wavelength (um), Band width (um), Rp/Rs, Rp/R* error
@wfc3_g141
1.126, 0.031, 0.13740, 0.00047
1.156, 0.029, 0.13724, 0.00036
1.185, 0.028, 0.13699, 0.00037
1.212, 0.027, 0.13621, 0.00036
1.239, 0.026, 0.13621, 0.00031
1.266, 0.027, 0.13665, 0.00040
1.292, 0.027, 0.13732, 0.00031
1.319, 0.026, 0.13726, 0.00037
1.345, 0.026, 0.13714, 0.00031
1.372, 0.027, 0.13734, 0.00036
1.400, 0.028, 0.13738, 0.00034
1.428, 0.028, 0.13740, 0.00026
1.457, 0.029, 0.13739, 0.00025
1.487, 0.031, 0.13643, 0.00035
1.519, 0.032, 0.13686, 0.00036
1.551, 0.034, 0.13669, 0.00031
1.586, 0.036, 0.13650, 0.00027
1.624, 0.039, 0.13599, 0.00041
