# Wavelength (um), band width (um), Rp/Rs, Rp/R* error
@wfc3_g141
 1.13805, 0.02610, 0.15145957, 0.00036974
 1.16390, 0.02560, 0.15120185, 0.00033068
 1.18890, 0.02440, 0.15195723, 0.00034549
 1.21290, 0.02360, 0.15193091, 0.00034555
 1.23635, 0.02330, 0.15130433, 0.00033707
 1.25980, 0.02360, 0.15125475, 0.00033718
 1.28355, 0.02390, 0.15149587, 0.00036305
 1.30715, 0.02330, 0.15120847, 0.00040672
 1.33045, 0.02330, 0.15223666, 0.00030873
 1.35390, 0.02360, 0.15275798, 0.00042224
 1.37790, 0.02440, 0.15249590, 0.00033771
 1.40265, 0.02510, 0.15205920, 0.00036499
 1.42790, 0.02540, 0.15291174, 0.00038911
 1.45365, 0.02610, 0.15232203, 0.00037749
 1.48030, 0.02720, 0.15225308, 0.00042692
 1.50790, 0.02800, 0.15179262, 0.00052703
 1.53645, 0.02910, 0.15129441, 0.00037675
 1.56645, 0.03090, 0.15190787, 0.00043118
 1.59820, 0.03460, 0.15123161, 0.00033723
 1.63225, 0.03550, 0.15036954, 0.00036909

