# Wavelength (um), band width (um), Rp/Rs, Rp/R* error
@wfc3_g141
1.126, 0.031, 0.10066, 0.00053
1.156, 0.029, 0.10138, 0.00040
1.185, 0.028, 0.10123, 0.00040
1.212, 0.027, 0.10113, 0.00042
1.239, 0.026, 0.10106, 0.00041
1.266, 0.027, 0.10110, 0.00042
1.292, 0.027, 0.10122, 0.00038
1.319, 0.026, 0.10086, 0.00039
1.345, 0.026, 0.10207, 0.00035
1.372, 0.027, 0.10198, 0.00046
1.400, 0.028, 0.10194, 0.00044
1.428, 0.028, 0.10215, 0.00043
1.457, 0.029, 0.10211, 0.00042
1.487, 0.031, 0.10252, 0.00043
1.519, 0.032, 0.10201, 0.00055
1.551, 0.034, 0.10158, 0.00044
1.586, 0.036, 0.10119, 0.00044
1.624, 0.039, 0.10076, 0.00048
