# Wavelength (um), Band width (um), Rp/Rs, Rp/R* error
@wfc3_g141
1.126, 0.031, 0.10937, 0.00036
1.156, 0.029, 0.11033, 0.00032
1.185, 0.028, 0.11008, 0.00032
1.212, 0.027, 0.11033, 0.00032
1.239, 0.026, 0.11010, 0.00029
1.266, 0.027, 0.10934, 0.00038
1.292, 0.027, 0.11014, 0.00035
1.319, 0.026, 0.11059, 0.00034
1.345, 0.026, 0.11016, 0.00028
1.372, 0.027, 0.10980, 0.00035
1.400, 0.028, 0.11015, 0.00031
1.428, 0.028, 0.11020, 0.00034
1.457, 0.029, 0.11038, 0.00038
1.487, 0.031, 0.11044, 0.00032
1.519, 0.032, 0.11006, 0.00030
1.551, 0.034, 0.11030, 0.00039
1.586, 0.036, 0.11021, 0.00030
1.624, 0.039, 0.10967, 0.00033
