# Wavelength (um), Band width (um), Rp/Rs, Rp/R* error
@wfc3_g141
1.126, 0.031, 0.15205, 0.00031
1.156, 0.029, 0.15153, 0.00034
1.185, 0.028, 0.15196, 0.00030
1.212, 0.027, 0.15214, 0.00029
1.239, 0.026, 0.15155, 0.00030
1.266, 0.027, 0.15135, 0.00029
1.292, 0.027, 0.15177, 0.00042
1.319, 0.026, 0.15192, 0.00028
1.345, 0.026, 0.15284, 0.00041
1.372, 0.027, 0.15287, 0.00030
1.400, 0.028, 0.15253, 0.00030
1.428, 0.028, 0.15335, 0.00034
1.457, 0.029, 0.15248, 0.00034
1.487, 0.031, 0.15224, 0.00035
1.519, 0.032, 0.15201, 0.00046
1.551, 0.034, 0.15208, 0.00039
1.586, 0.036, 0.15149, 0.00032
1.624, 0.039, 0.15100, 0.00034
