# Wavelength (um), Band width (um), Rp/Rs, Rp/R* error
@wfc3_g141
1.126, 0.031, 0.05080, 0.00020
1.156, 0.029, 0.05066, 0.00022
1.185, 0.028, 0.05102, 0.00016
1.212, 0.027, 0.05067, 0.00022
1.239, 0.026, 0.05100, 0.00019
1.266, 0.027, 0.05072, 0.00020
1.292, 0.027, 0.05096, 0.00025
1.319, 0.026, 0.05086, 0.00021
1.345, 0.026, 0.05091, 0.00027
1.372, 0.027, 0.05091, 0.00020
1.400, 0.028, 0.05087, 0.00018
1.428, 0.028, 0.05112, 0.00020
1.457, 0.029, 0.05133, 0.00023
1.487, 0.031, 0.05121, 0.00018
1.519, 0.032, 0.05083, 0.00018
1.551, 0.034, 0.05092, 0.00024
1.586, 0.036, 0.05082, 0.00022
1.624, 0.039, 0.05041, 0.00024
