# Wavelength (um),Band half width (um), Rp/Rs, Rp/R* error
@stis_430l
0.3450, 0.0250, 0.15811, 0.00032
0.3950, 0.0250, 0.15751, 0.00016
0.4450, 0.0250, 0.15718, 0.00014
0.4950, 0.0250, 0.15695, 0.00013
0.5400, 0.0200, 0.15666, 0.00013
0.5700, 0.0100, 0.15644, 0.00014
@stis_750l
0.5860, 0.0060, 0.15638, 0.00027
0.5895, 0.0011, 0.15703, 0.00011
0.5980, 0.0060, 0.15631, 0.00022
0.6095, 0.0055, 0.15617, 0.00036
0.6205, 0.0055, 0.15600, 0.00027
0.6320, 0.0060, 0.15610, 0.00012
@acs_g800l
0.6750, 0.0250, 0.15585, 0.00011
0.7250, 0.0250, 0.15572, 0.00011
0.7750, 0.0250, 0.15586, 0.00012
0.8250, 0.0250, 0.15552, 0.00012
0.8750, 0.0250, 0.15553, 0.00013
0.9250, 0.0250, 0.15546, 0.00013
0.9750, 0.0250, 0.15552, 0.00016
1.0250, 0.0250, 0.15496, 0.00024
@wfc3_g141
1.1050, 0.0230, 0.15671, 0.00084
1.1335, 0.0345, 0.15549, 0.00089
@wfc3_g141
1.1279, 0.0094, 0.15469, 0.00024
1.1467, 0.0094, 0.15497, 0.00022
1.1655, 0.0094, 0.15507, 0.00034
1.1843, 0.0094, 0.15493, 0.00028
1.2031, 0.0094, 0.15469, 0.00026
1.2218, 0.0094, 0.15467, 0.00023
1.2406, 0.0094, 0.15444, 0.00018
1.2594, 0.0094, 0.15482, 0.00020
1.2782, 0.0094, 0.15437, 0.00020
1.2970, 0.0094, 0.15477, 0.00022
1.3157, 0.0094, 0.15469, 0.00019
1.3345, 0.0094, 0.15476, 0.00021
1.3533, 0.0094, 0.15525, 0.00018
1.3721, 0.0094, 0.15530, 0.00020
1.3909, 0.0094, 0.15511, 0.00020
1.4096, 0.0094, 0.15551, 0.00025
1.4284, 0.0094, 0.15546, 0.00021
1.4472, 0.0094, 0.15516, 0.00023
1.4660, 0.0094, 0.15487, 0.00022
1.4847, 0.0094, 0.15542, 0.00024
1.5035, 0.0094, 0.15463, 0.00020
1.5223, 0.0094, 0.15513, 0.00020
1.5411, 0.0094, 0.15482, 0.00020
1.5599, 0.0094, 0.15485, 0.00023
1.5786, 0.0094, 0.15514, 0.00028
1.5974, 0.0094, 0.15470, 0.00024
1.6162, 0.0094, 0.15454, 0.00032
1.6350, 0.0094, 0.15502, 0.00027
@nicmos_wfc3
1.6000, 0.1500, 0.15476, 0.00025
1.9250, 0.1750, 0.15474, 0.00022
2.3000, 0.2000, 0.15447, 0.00027
@irac
3.5500, 0.3500, 0.15507, 0.00027
4.5000, 0.5000, 0.15542, 0.00035
5.8000, 0.5000, 0.15476, 0.00067
8.0000, 0.5000, 0.15510, 0.00034
@mips
24.000, 0.5000, 0.15459, 0.00094
