# Wavelength (um), band width (um), Rp/Rs, Rp/R* error
@wfc3_g141
1.1560, 0.0340, 0.05390, 0.00023
1.1885, 0.0310, 0.05421, 0.00024
1.2185, 0.0290, 0.05388, 0.00022
1.2470, 0.0280, 0.05406, 0.00023
1.2750, 0.0280, 0.05377, 0.00024
1.3025, 0.0270, 0.05402, 0.00024
1.3290, 0.0260, 0.05403, 0.00022
1.3555, 0.0270, 0.05445, 0.00022
1.3825, 0.0270, 0.05436, 0.00025
1.4095, 0.0270, 0.05455, 0.00023
1.4365, 0.0270, 0.05468, 0.00022
1.4640, 0.0280, 0.05381, 0.00021
1.4920, 0.0280, 0.05413, 0.00021
1.5200, 0.0280, 0.05405, 0.00022
1.5480, 0.0280, 0.05362, 0.00022
1.5765, 0.0290, 0.05410, 0.00023
1.6055, 0.0290, 0.05408, 0.00022
