# Wavelength (um), band width (um), Rp/Rs, Rp/R* error
@wfc3_g141
1.135, 0.030, 0.05419, 0.00030
1.165, 0.030, 0.05372, 0.00027
1.195, 0.030, 0.05361, 0.00025
1.225, 0.030, 0.05396, 0.00025
1.255, 0.030, 0.05397, 0.00026
1.285, 0.030, 0.05382, 0.00026
1.315, 0.030, 0.05386, 0.00025
1.345, 0.030, 0.05450, 0.00025
1.375, 0.030, 0.05436, 0.00028
1.405, 0.030, 0.05433, 0.00029
1.435, 0.030, 0.05457, 0.00024
1.465, 0.030, 0.05398, 0.00025
1.495, 0.030, 0.05412, 0.00024
1.525, 0.030, 0.05379, 0.00027
1.555, 0.030, 0.05350, 0.00026
1.585, 0.030, 0.05382, 0.00026
1.615, 0.030, 0.05370, 0.00025
@irac
3.600, 1.000, 0.05338, 0.00084
4.500, 1.000, 0.05368, 0.00087

