# Wavelength (um),Band half width (um), Rp/Rs, Rp/R* error
@stis_430l
 0.3350, 0.0450, 0.12135, 0.00087
 0.4050, 0.0250, 0.12073, 0.00056
 0.4550, 0.0250, 0.12000, 0.00025
 0.5020, 0.0220, 0.12022, 0.00031
 0.5470, 0.0230, 0.12067, 0.00035
 0.5550, 0.0250, 0.11973, 0.00057
 0.6050, 0.0250, 0.12012, 0.00059
 0.6550, 0.0250, 0.12033, 0.00051
 0.7050, 0.0250, 0.11925, 0.00076
 0.7600, 0.0300, 0.11951, 0.00051
 0.8200, 0.0300, 0.11947, 0.00078
 0.9400, 0.0900, 0.11967, 0.00082
@wfc3_g102
 0.8670, 0.0290, 0.120171, 0.000287
 0.9250, 0.0290, 0.120092, 0.000229
 0.9830, 0.0290, 0.120008, 0.000217
 1.0410, 0.0290, 0.120117, 0.000212
 1.0995, 0.0295, 0.119962, 0.000221
@wfc3_g141
#  Kreidberg et al 2015
 1.1470, 0.0350, 0.119942, 0.000196
 1.2165, 0.0345, 0.119854, 0.000188
 1.2855, 0.0345, 0.119695, 0.000171
 1.3545, 0.0345, 0.120756, 0.000166
 1.4235, 0.0345, 0.120830, 0.000178
 1.4925, 0.0345, 0.120540, 0.000187
 1.5620, 0.0350, 0.120312, 0.000241
 1.6315, 0.0345, 0.119716, 0.000230
# Sing et al 2016
# 1.1630, 0.0260, 0.11975, 0.00051
# 1.2150, 0.0260, 0.11902, 0.00085
# 1.2670, 0.0260, 0.11912, 0.00050
# 1.3190, 0.0260, 0.11829, 0.00050
# 1.3710, 0.0260, 0.11977, 0.00052
# 1.4230, 0.0260, 0.11913, 0.00053
# 1.4750, 0.0260, 0.11926, 0.00052
# 1.5270, 0.0260, 0.11989, 0.00061
# 1.5790, 0.0260, 0.11849, 0.00066
# 1.6310, 0.0260, 0.11830, 0.00065
@irac
 3.6000, 0.4000, 0.11722, 0.00138
 4.5000, 0.4000, 0.11773, 0.00183
