# Wavelength (um),Band half width (um), Rp/Rs, Rp/R* error
@stis_430l
0.4200, 0.0700, 0.14137, 0.00063
0.5300, 0.0400, 0.14059, 0.00054
0.5800, 0.0500, 0.14070, 0.00070
@stis_750l
0.6800, 0.0500, 0.13950, 0.00060
0.7795, 0.0495, 0.14060, 0.00080
0.9295, 0.1005, 0.14030, 0.00080
@wfc3_g141
1.1370, 0.0500, 0.13974, 0.00049
1.2370, 0.0500, 0.13924, 0.00033
1.3370, 0.0500, 0.13994, 0.00031
1.4370, 0.0500, 0.14124, 0.00039
1.5370, 0.0500, 0.14084, 0.00056
1.6370, 0.0500, 0.14014, 0.00039
@irac
3.5600, 0.3800, 0.13924, 0.00104
4.5000, 0.5600, 0.14210, 0.00117
