# Wavelength (um),Band half width (um), Rp/Rs, Rp/R* error
@stis_430l
0.3300, 0.0400, 0.14861, 0.00116
0.3825, 0.0125, 0.14675, 0.00109
0.4032, 0.0081, 0.14592, 0.00087
0.4182, 0.0069, 0.14816, 0.00106
0.4325, 0.0075, 0.14637, 0.00101
0.4450, 0.0050, 0.14605, 0.00102
0.4550, 0.0050, 0.14682, 0.00090
0.4650, 0.0050, 0.14533, 0.00091
0.4750, 0.0050, 0.14631, 0.00096
0.4850, 0.0050, 0.14462, 0.00086
0.4950, 0.0050, 0.14580, 0.00085
0.5050, 0.0050, 0.14382, 0.00085
0.5150, 0.0050, 0.14528, 0.00093
0.5250, 0.0050, 0.14600, 0.00079
0.5350, 0.0050, 0.14377, 0.00094
0.5450, 0.0050, 0.14292, 0.00097
0.5550, 0.0050, 0.14636, 0.00088
0.5650, 0.0050, 0.14592, 0.00086
0.5575, 0.0075, 0.14401, 0.00123
@stis_750l
0.5764, 0.0114, 0.14539, 0.00095
0.5893, 0.0015, 0.14977, 0.00229
0.5989, 0.0081, 0.14603, 0.00118
0.6185, 0.0115, 0.14658, 0.00122
0.6375, 0.0075, 0.14525, 0.00131
0.6525, 0.0075, 0.14431, 0.00162
0.6700, 0.0100, 0.14251, 0.00119
0.6950, 0.0150, 0.14330, 0.00079
0.7380, 0.0280, 0.14438, 0.00066
0.7684, 0.0025, 0.14828, 0.00290
0.7905, 0.0196, 0.14702, 0.00141
0.8300, 0.0200, 0.14560, 0.00163
0.8750, 0.0250, 0.14530, 0.00129
0.9650, 0.0650, 0.14271, 0.00109
@wfc3_g102
0.8225, 0.0122, 0.14435, 0.000310 
0.8592, 0.0245, 0.14482, 0.000190
0.9082, 0.0245, 0.14539, 0.000140
0.9572, 0.0245, 0.14598, 0.000150
1.0062, 0.0245, 0.14541, 0.000130
1.0552, 0.0245, 0.14457, 0.000150
1.0920, 0.0122, 0.14475, 0.000220
1.1165, 0.0122, 0.14596, 0.000240
@wfc3_g141
1.1391, 0.0093, 0.14567, 0.000710
1.1578, 0.0093, 0.14625, 0.000410
1.1765, 0.0093, 0.14611, 0.000430
1.1951, 0.0093, 0.14542, 0.000580
1.2138, 0.0093, 0.14500, 0.000680
1.2325, 0.0093, 0.14536, 0.000510
1.2512, 0.0093, 0.14576, 0.000640
1.2699, 0.0093, 0.14417, 0.000400
1.2885, 0.0093, 0.14628, 0.000760
1.3072, 0.0093, 0.14582, 0.000602
1.3259, 0.0093, 0.14663, 0.000515
1.3446, 0.0093, 0.14663, 0.000469
1.3633, 0.0093, 0.14687, 0.000660
1.3819, 0.0093, 0.14733, 0.000580
1.4006, 0.0093, 0.14749, 0.000592
1.4193, 0.0093, 0.14674, 0.000500
1.4380, 0.0093, 0.14788, 0.000650
1.4567, 0.0093, 0.14772, 0.000758
1.4753, 0.0093, 0.14803, 0.000633
1.4940, 0.0093, 0.14718, 0.000677
1.5127, 0.0093, 0.14653, 0.000670
1.5314, 0.0093, 0.14655, 0.000721
1.5501, 0.0093, 0.14656, 0.000518
1.5687, 0.0093, 0.14607, 0.000677
1.5874, 0.0093, 0.14519, 0.000711
1.6061, 0.0093, 0.14588, 0.000671
1.6248, 0.0093, 0.14596, 0.000840
1.6435, 0.0093, 0.14441, 0.000614
@irac
3.5600, 0.3800, 0.14438, 0.00061
4.5000, 0.5600, 0.14659, 0.00073
