# Wavelength (um), band width (um), Rp/Rs, Rp/R* error
@wfc3_g141
1.1465, 0.0230, 0.159781, 0.000169
1.1695, 0.0230, 0.159437, 0.000163
1.1925, 0.0230, 0.159405, 0.000154
1.2165, 0.0230, 0.159060, 0.000163
1.2395, 0.0230, 0.159656, 0.000153
1.2625, 0.0230, 0.159437, 0.000163
1.2855, 0.0230, 0.159405, 0.000154
1.3085, 0.0230, 0.159437, 0.000157
1.3315, 0.0230, 0.159499, 0.000141
1.3545, 0.0230, 0.159969, 0.000156
1.3775, 0.0230, 0.159875, 0.000144
1.4005, 0.0230, 0.159844, 0.000153
1.4235, 0.0230, 0.159593, 0.000144
1.4465, 0.0230, 0.159374, 0.000160
1.4695, 0.0230, 0.159217, 0.000144
1.4925, 0.0230, 0.159342, 0.000160
1.5155, 0.0230, 0.159499, 0.000147
1.5385, 0.0230, 0.159499, 0.000150
1.5615, 0.0230, 0.159437, 0.000154
1.5845, 0.0230, 0.159311, 0.000154
1.6075, 0.0230, 0.159248, 0.000166
1.6305, 0.0230, 0.159248, 0.000160
@irac
3.6000, 1.0000, 0.158000, 0.000300
4.5000, 1.0000, 0.158900, 0.000500
