# Wavelength (um), band width (um), Rp/Rs, Rp/R* error
@wfc3_g141
1.141, 0.032, 0.15934, 0.00087
1.173, 0.032, 0.16035, 0.00090
1.204, 0.032, 0.15914, 0.00081
1.236, 0.032, 0.16048, 0.00064
1.268, 0.032, 0.16125, 0.00079
1.300, 0.032, 0.15984, 0.00072
1.331, 0.032, 0.16050, 0.00067
1.363, 0.032, 0.16181, 0.00069
1.395, 0.032, 0.16177, 0.00069
1.426, 0.032, 0.16170, 0.00072
1.458, 0.032, 0.16054, 0.00070
1.490, 0.032, 0.15905, 0.00068
1.522, 0.032, 0.15979, 0.00076
1.553, 0.032, 0.15985, 0.00092
1.585, 0.032, 0.16105, 0.00071
1.617, 0.032, 0.16088, 0.00086
