# Wavelength (um), Band width (um), Rp/Rs, Rp/R* error
@wfc3_g141
1.126, 0.031, 0.16335, 0.00082
1.156, 0.029, 0.16318, 0.00117
1.185, 0.028, 0.16409, 0.00081
1.212, 0.027, 0.16316, 0.00069
1.239, 0.026, 0.16314, 0.00072
1.266, 0.027, 0.16418, 0.00094
1.292, 0.027, 0.16336, 0.00078
1.319, 0.026, 0.16169, 0.00113
1.345, 0.026, 0.16372, 0.00103
1.372, 0.027, 0.16482, 0.00093
1.400, 0.028, 0.16425, 0.00090
1.428, 0.028, 0.16481, 0.00073
1.457, 0.029, 0.16292, 0.00085
1.487, 0.031, 0.16301, 0.00073
1.519, 0.032, 0.16225, 0.00075
1.551, 0.034, 0.16322, 0.00074
1.586, 0.036, 0.16320, 0.00085
1.624, 0.039, 0.16315, 0.00073
