# Wavelength (um), Band width (um), Rp/Rs, Rp/R* error
@wfc3_g141
1.126, 0.031, 0.10874, 0.00037
1.156, 0.029, 0.10880, 0.00038
1.185, 0.028, 0.10851, 0.00031
1.212, 0.027, 0.10917, 0.00034
1.239, 0.026, 0.10918, 0.00028
1.266, 0.027, 0.10875, 0.00029
1.292, 0.027, 0.10899, 0.00033
1.319, 0.026, 0.10906, 0.00026
1.345, 0.026, 0.10886, 0.00030
1.372, 0.027, 0.10914, 0.00034
1.400, 0.028, 0.10897, 0.00030
1.428, 0.028, 0.10837, 0.00023
1.457, 0.029, 0.10892, 0.00023
1.487, 0.031, 0.10883, 0.00036
1.519, 0.032, 0.10812, 0.00028
1.551, 0.034, 0.10786, 0.00036
1.586, 0.036, 0.10833, 0.00038
1.624, 0.039, 0.10803, 0.00035
