# Wavelength (um),Band half width (um), Rp/Rs, Rp/R* error
@wfc3_g141
1.1425, 0.0175, 0.10834, 0.00038
1.1775, 0.0175, 0.10867, 0.00031
1.2125, 0.0175, 0.10824, 0.00032
1.2475, 0.0175, 0.10895, 0.00030
1.2825, 0.0175, 0.10886, 0.00029
1.3175, 0.0175, 0.10863, 0.00031
1.3525, 0.0175, 0.10856, 0.00029
1.3875, 0.0175, 0.10865, 0.00029
1.4225, 0.0175, 0.10953, 0.00033
1.4575, 0.0175, 0.10796, 0.00031
1.4925, 0.0175, 0.10925, 0.00033
1.5275, 0.0175, 0.10889, 0.00033
1.5625, 0.0175, 0.10761, 0.00033
1.5975, 0.0175, 0.10803, 0.00036
1.6325, 0.0175, 0.10820, 0.00036
