# Wavelength (um),Band half width (um), Rp/Rs, Rp/R* error
@wfc3_g141
 1.1330, 0.0120, 0.14367, 0.00021
 1.1580, 0.0130, 0.14399, 0.00019
 1.1835, 0.0125, 0.14320, 0.00020
 1.2090, 0.0130, 0.14317, 0.00019
 1.2350, 0.0130, 0.14302, 0.00021
 1.2600, 0.0120, 0.14315, 0.00017
 1.2850, 0.0130, 0.14360, 0.00022
 1.3105, 0.0125, 0.14401, 0.00017
 1.3360, 0.0130, 0.14374, 0.00020
 1.3615, 0.0125, 0.14442, 0.00017
 1.3875, 0.0135, 0.14420, 0.00017
 1.4130, 0.0120, 0.14453, 0.00018
 1.4385, 0.0135, 0.14429, 0.00021
 1.4640, 0.0120, 0.14384, 0.00018
 1.4890, 0.0130, 0.14381, 0.00024
 1.5150, 0.0130, 0.14380, 0.00023
 1.5400, 0.0120, 0.14321, 0.00021
 1.5655, 0.0135, 0.14311, 0.00022
 1.5910, 0.0120, 0.14318, 0.00020
 1.6160, 0.0130, 0.14323, 0.00023

