# Wavelength (um),Band half width (um), Rp/Rs, Rp/R* error
@ground
0.44116, 0.04992, 0.123755, 0.000647
0.61842, 0.05625, 0.125210, 0.000669
0.89239, 0.04750, 0.122977, 0.001156
@wfc3_g141
1.13017, 0.00928, 0.120331, 0.000380
1.14874, 0.00928, 0.121067, 0.000359
1.16731, 0.00928, 0.121223, 0.000345
1.18588, 0.00928, 0.121491, 0.000341
1.20445, 0.00928, 0.121157, 0.000340
1.22302, 0.00928, 0.121128, 0.000344
1.24158, 0.00928, 0.121433, 0.000344
1.26015, 0.00928, 0.120703, 0.000365
1.27872, 0.00928, 0.120362, 0.000356
1.29729, 0.00928, 0.120328, 0.000366
1.31586, 0.00928, 0.120353, 0.000333
1.33442, 0.00928, 0.121175, 0.000339
1.35299, 0.00928, 0.122014, 0.000345
1.37156, 0.00928, 0.121934, 0.000346
1.39013, 0.00928, 0.121385, 0.000355
1.40870, 0.00928, 0.121184, 0.000358
1.42727, 0.00928, 0.121561, 0.000357
1.44583, 0.00928, 0.121641, 0.000353
1.46440, 0.00928, 0.121669, 0.000356
1.48297, 0.00928, 0.120880, 0.000396
1.50154, 0.00928, 0.121603, 0.000374
1.52011, 0.00928, 0.121014, 0.000389
1.53867, 0.00928, 0.120528, 0.000407
1.55724, 0.00928, 0.121230, 0.000431
1.57581, 0.00928, 0.120570, 0.000413
1.59438, 0.00928, 0.120299, 0.000415
1.61295, 0.00928, 0.120712, 0.000413
1.63152, 0.00928, 0.119536, 0.000426
