#  Wavelength      transmission
#          um          unitless
     2.471006   0.000000000e+00
     2.471105   0.000000000e+00
     2.471205   0.000000000e+00
     2.471304   0.000000000e+00
     2.471404   0.000000000e+00
     2.471504   0.000000000e+00
     2.471603   0.000000000e+00
     2.471703   0.000000000e+00
     2.471802   0.000000000e+00
     2.471902   0.000000000e+00
     2.472001   0.000000000e+00
     2.472101   0.000000000e+00
     2.472200   0.000000000e+00
     2.472300   0.000000000e+00
     2.472399   0.000000000e+00
     2.472499   0.000000000e+00
     2.472598   0.000000000e+00
     2.472698   0.000000000e+00
     2.472797   0.000000000e+00
     2.472897   0.000000000e+00
     2.472997   0.000000000e+00
     2.473096   0.000000000e+00
     2.473196   0.000000000e+00
     2.473295   0.000000000e+00
     2.473395   0.000000000e+00
     2.473494   0.000000000e+00
     2.473594   0.000000000e+00
     2.473693   0.000000000e+00
     2.473793   0.000000000e+00
     2.473892   0.000000000e+00
     2.473992   0.000000000e+00
     2.474091   0.000000000e+00
     2.474191   0.000000000e+00
     2.474290   0.000000000e+00
     2.474390   0.000000000e+00
     2.474490   0.000000000e+00
     2.474589   0.000000000e+00
     2.474689   0.000000000e+00
     2.474788   0.000000000e+00
     2.474888   0.000000000e+00
     2.474987   0.000000000e+00
     2.475087   0.000000000e+00
     2.475186   0.000000000e+00
     2.475286   0.000000000e+00
     2.475385   0.000000000e+00
     2.475485   0.000000000e+00
     2.475584   0.000000000e+00
     2.475684   0.000000000e+00
     2.475783   0.000000000e+00
     2.475883   0.000000000e+00
     2.475983   0.000000000e+00
     2.476082   1.000000000e+00
     2.476182   1.000000000e+00
     2.476281   1.000000000e+00
     2.476381   1.000000000e+00
     2.476480   1.000000000e+00
     2.476580   1.000000000e+00
     2.476679   1.000000000e+00
     2.476779   1.000000000e+00
     2.476878   1.000000000e+00
     2.476978   1.000000000e+00
     2.477077   1.000000000e+00
     2.477177   1.000000000e+00
     2.477277   1.000000000e+00
     2.477376   1.000000000e+00
     2.477476   1.000000000e+00
     2.477575   1.000000000e+00
     2.477675   1.000000000e+00
     2.477774   1.000000000e+00
     2.477874   1.000000000e+00
     2.477973   1.000000000e+00
     2.478073   1.000000000e+00
     2.478172   1.000000000e+00
     2.478272   1.000000000e+00
     2.478371   1.000000000e+00
     2.478471   1.000000000e+00
     2.478570   1.000000000e+00
     2.478670   1.000000000e+00
     2.478770   1.000000000e+00
     2.478869   1.000000000e+00
     2.478969   1.000000000e+00
     2.479068   1.000000000e+00
     2.479168   1.000000000e+00
     2.479267   1.000000000e+00
     2.479367   1.000000000e+00
     2.479466   1.000000000e+00
     2.479566   1.000000000e+00
     2.479665   1.000000000e+00
     2.479765   1.000000000e+00
     2.479864   1.000000000e+00
     2.479964   1.000000000e+00
     2.480063   1.000000000e+00
     2.480163   1.000000000e+00
     2.480263   1.000000000e+00
     2.480362   1.000000000e+00
     2.480462   1.000000000e+00
     2.480561   1.000000000e+00
     2.480661   1.000000000e+00
     2.480760   1.000000000e+00
     2.480860   1.000000000e+00
     2.480959   1.000000000e+00
     2.481059   1.000000000e+00
     2.481158   1.000000000e+00
     2.481258   1.000000000e+00
     2.481357   1.000000000e+00
     2.481457   1.000000000e+00
     2.481556   1.000000000e+00
     2.481656   1.000000000e+00
     2.481756   1.000000000e+00
     2.481855   1.000000000e+00
     2.481955   1.000000000e+00
     2.482054   1.000000000e+00
     2.482154   1.000000000e+00
     2.482253   1.000000000e+00
     2.482353   1.000000000e+00
     2.482452   1.000000000e+00
     2.482552   1.000000000e+00
     2.482651   1.000000000e+00
     2.482751   1.000000000e+00
     2.482850   1.000000000e+00
     2.482950   1.000000000e+00
     2.483050   1.000000000e+00
