# Wavelength      transmission
#         um          unitless
     3.53544   0.000000000e+00
     3.53558   0.000000000e+00
     3.53572   0.000000000e+00
     3.53587   0.000000000e+00
     3.53601   0.000000000e+00
     3.53615   0.000000000e+00
     3.53629   0.000000000e+00
     3.53643   0.000000000e+00
     3.53658   0.000000000e+00
     3.53672   0.000000000e+00
     3.53686   0.000000000e+00
     3.53700   0.000000000e+00
     3.53715   0.000000000e+00
     3.53729   0.000000000e+00
     3.53743   0.000000000e+00
     3.53757   0.000000000e+00
     3.53772   0.000000000e+00
     3.53786   0.000000000e+00
     3.53800   0.000000000e+00
     3.53814   0.000000000e+00
     3.53829   0.000000000e+00
     3.53843   0.000000000e+00
     3.53857   0.000000000e+00
     3.53871   0.000000000e+00
     3.53886   0.000000000e+00
     3.53900   0.000000000e+00
     3.53914   0.000000000e+00
     3.53928   0.000000000e+00
     3.53943   0.000000000e+00
     3.53957   0.000000000e+00
     3.53971   0.000000000e+00
     3.53985   0.000000000e+00
     3.54000   0.000000000e+00
     3.54014   0.000000000e+00
     3.54028   0.000000000e+00
     3.54042   0.000000000e+00
     3.54056   0.000000000e+00
     3.54071   0.000000000e+00
     3.54085   0.000000000e+00
     3.54099   0.000000000e+00
     3.54113   0.000000000e+00
     3.54128   0.000000000e+00
     3.54142   0.000000000e+00
     3.54156   0.000000000e+00
     3.54170   0.000000000e+00
     3.54185   0.000000000e+00
     3.54199   0.000000000e+00
     3.54213   0.000000000e+00
     3.54227   0.000000000e+00
     3.54242   0.000000000e+00
     3.54256   0.000000000e+00
     3.54270   1.000000000e+00
     3.54284   1.000000000e+00
     3.54299   1.000000000e+00
     3.54313   1.000000000e+00
     3.54327   1.000000000e+00
     3.54341   1.000000000e+00
     3.54356   1.000000000e+00
     3.54370   1.000000000e+00
     3.54384   1.000000000e+00
     3.54398   1.000000000e+00
     3.54413   1.000000000e+00
     3.54427   1.000000000e+00
     3.54441   1.000000000e+00
     3.54455   1.000000000e+00
     3.54469   1.000000000e+00
     3.54484   1.000000000e+00
     3.54498   1.000000000e+00
     3.54512   1.000000000e+00
     3.54526   1.000000000e+00
     3.54541   1.000000000e+00
     3.54555   1.000000000e+00
     3.54569   1.000000000e+00
     3.54583   1.000000000e+00
     3.54598   1.000000000e+00
     3.54612   1.000000000e+00
     3.54626   1.000000000e+00
     3.54640   1.000000000e+00
     3.54655   1.000000000e+00
     3.54669   1.000000000e+00
     3.54683   1.000000000e+00
     3.54697   1.000000000e+00
     3.54712   1.000000000e+00
     3.54726   1.000000000e+00
     3.54740   1.000000000e+00
     3.54754   1.000000000e+00
     3.54769   1.000000000e+00
     3.54783   1.000000000e+00
     3.54797   1.000000000e+00
     3.54811   1.000000000e+00
     3.54825   1.000000000e+00
     3.54840   1.000000000e+00
     3.54854   1.000000000e+00
     3.54868   1.000000000e+00
     3.54882   1.000000000e+00
     3.54897   1.000000000e+00
     3.54911   1.000000000e+00
     3.54925   1.000000000e+00
     3.54939   1.000000000e+00
     3.54954   1.000000000e+00
     3.54968   1.000000000e+00
     3.54982   1.000000000e+00
     3.54996   1.000000000e+00
     3.55011   1.000000000e+00
     3.55025   1.000000000e+00
     3.55039   1.000000000e+00
     3.55053   1.000000000e+00
     3.55068   1.000000000e+00
     3.55082   1.000000000e+00
     3.55096   1.000000000e+00
     3.55110   1.000000000e+00
     3.55125   1.000000000e+00
     3.55139   1.000000000e+00
     3.55153   1.000000000e+00
     3.55167   1.000000000e+00
     3.55182   1.000000000e+00
     3.55196   1.000000000e+00
     3.55210   1.000000000e+00
     3.55224   1.000000000e+00
     3.55238   1.000000000e+00
     3.55253   1.000000000e+00
     3.55267   1.000000000e+00
     3.55281   1.000000000e+00
     3.55295   1.000000000e+00
     3.55310   1.000000000e+00
     3.55324   1.000000000e+00
     3.55338   1.000000000e+00
     3.55352   1.000000000e+00
     3.55367   1.000000000e+00
     3.55381   1.000000000e+00
     3.55395   1.000000000e+00
     3.55409   1.000000000e+00
     3.55424   1.000000000e+00
     3.55438   1.000000000e+00
     3.55452   1.000000000e+00
     3.55466   1.000000000e+00
     3.55481   1.000000000e+00
     3.55495   1.000000000e+00
     3.55509   1.000000000e+00
     3.55523   1.000000000e+00
     3.55538   1.000000000e+00
     3.55552   1.000000000e+00
     3.55566   1.000000000e+00
     3.55580   1.000000000e+00
     3.55595   1.000000000e+00
     3.55609   1.000000000e+00
     3.55623   1.000000000e+00
     3.55637   1.000000000e+00
     3.55651   1.000000000e+00
     3.55666   1.000000000e+00
     3.55680   1.000000000e+00
     3.55694   1.000000000e+00
     3.55708   1.000000000e+00
     3.55723   1.000000000e+00
     3.55737   1.000000000e+00
     3.55751   1.000000000e+00
     3.55765   1.000000000e+00
     3.55780   1.000000000e+00
     3.55794   1.000000000e+00
     3.55808   1.000000000e+00
     3.55822   1.000000000e+00
     3.55837   1.000000000e+00
     3.55851   1.000000000e+00
     3.55865   1.000000000e+00
     3.55879   1.000000000e+00
     3.55894   1.000000000e+00
     3.55908   1.000000000e+00
     3.55922   1.000000000e+00
     3.55936   1.000000000e+00
     3.55951   1.000000000e+00
     3.55965   1.000000000e+00
     3.55979   1.000000000e+00
     3.55993   1.000000000e+00
     3.56008   1.000000000e+00
     3.56022   1.000000000e+00
     3.56036   1.000000000e+00
     3.56050   1.000000000e+00
     3.56064   1.000000000e+00
     3.56079   1.000000000e+00
     3.56093   1.000000000e+00
     3.56107   1.000000000e+00
     3.56121   1.000000000e+00
     3.56136   1.000000000e+00
     3.56150   1.000000000e+00
     3.56164   1.000000000e+00
     3.56178   1.000000000e+00
     3.56193   1.000000000e+00
     3.56207   1.000000000e+00
     3.56221   1.000000000e+00
     3.56235   1.000000000e+00
     3.56250   1.000000000e+00
     3.56264   1.000000000e+00
     3.56278   1.000000000e+00
     3.56292   1.000000000e+00
     3.56307   1.000000000e+00
     3.56321   1.000000000e+00
     3.56335   1.000000000e+00
     3.56349   1.000000000e+00
     3.56364   1.000000000e+00
     3.56378   1.000000000e+00
     3.56392   1.000000000e+00
     3.56406   1.000000000e+00
     3.56421   1.000000000e+00
     3.56435   1.000000000e+00
     3.56449   1.000000000e+00
     3.56463   1.000000000e+00
     3.56477   1.000000000e+00
     3.56492   1.000000000e+00
     3.56506   1.000000000e+00
     3.56520   1.000000000e+00
     3.56534   1.000000000e+00
     3.56549   1.000000000e+00
     3.56563   1.000000000e+00
     3.56577   1.000000000e+00
     3.56591   1.000000000e+00
     3.56606   1.000000000e+00
     3.56620   1.000000000e+00
     3.56634   1.000000000e+00
     3.56648   1.000000000e+00
     3.56663   1.000000000e+00
     3.56677   1.000000000e+00
     3.56691   1.000000000e+00
     3.56705   1.000000000e+00
     3.56720   1.000000000e+00
     3.56734   1.000000000e+00
     3.56748   1.000000000e+00
     3.56762   1.000000000e+00
     3.56777   1.000000000e+00
     3.56791   1.000000000e+00
     3.56805   1.000000000e+00
     3.56819   1.000000000e+00
     3.56833   1.000000000e+00
     3.56848   1.000000000e+00
     3.56862   1.000000000e+00
     3.56876   1.000000000e+00
     3.56890   1.000000000e+00
     3.56905   1.000000000e+00
     3.56919   1.000000000e+00
     3.56933   1.000000000e+00
     3.56947   1.000000000e+00
     3.56962   1.000000000e+00
     3.56976   1.000000000e+00
     3.56990   1.000000000e+00
     3.57004   1.000000000e+00
     3.57019   1.000000000e+00
     3.57033   1.000000000e+00
     3.57047   1.000000000e+00
     3.57061   1.000000000e+00
     3.57076   1.000000000e+00
     3.57090   1.000000000e+00
     3.57104   1.000000000e+00
     3.57118   1.000000000e+00
     3.57133   1.000000000e+00
     3.57147   1.000000000e+00
     3.57161   1.000000000e+00
     3.57175   1.000000000e+00
     3.57190   1.000000000e+00
     3.57204   1.000000000e+00
     3.57218   1.000000000e+00
     3.57232   1.000000000e+00
     3.57246   1.000000000e+00
     3.57261   1.000000000e+00
     3.57275   1.000000000e+00
     3.57289   1.000000000e+00
     3.57303   1.000000000e+00
     3.57318   1.000000000e+00
     3.57332   1.000000000e+00
     3.57346   1.000000000e+00
     3.57360   1.000000000e+00
     3.57375   1.000000000e+00
     3.57389   1.000000000e+00
     3.57403   1.000000000e+00
     3.57417   1.000000000e+00
     3.57432   1.000000000e+00
     3.57446   1.000000000e+00
     3.57460   1.000000000e+00
     3.57474   1.000000000e+00
     3.57489   1.000000000e+00
     3.57503   1.000000000e+00
     3.57517   1.000000000e+00
     3.57531   1.000000000e+00
     3.57546   1.000000000e+00
     3.57560   1.000000000e+00
     3.57574   1.000000000e+00
     3.57588   1.000000000e+00
     3.57603   1.000000000e+00
     3.57617   1.000000000e+00
     3.57631   1.000000000e+00
     3.57645   1.000000000e+00
     3.57659   1.000000000e+00
     3.57674   1.000000000e+00
     3.57688   1.000000000e+00
     3.57702   1.000000000e+00
     3.57716   1.000000000e+00
     3.57731   1.000000000e+00
     3.57745   1.000000000e+00
     3.57759   1.000000000e+00
     3.57773   1.000000000e+00
     3.57788   1.000000000e+00
     3.57802   1.000000000e+00
     3.57816   1.000000000e+00
     3.57830   1.000000000e+00
     3.57845   1.000000000e+00
     3.57859   1.000000000e+00
     3.57873   1.000000000e+00
     3.57887   1.000000000e+00
     3.57902   1.000000000e+00
     3.57916   1.000000000e+00
     3.57930   1.000000000e+00
     3.57944   1.000000000e+00
     3.57959   1.000000000e+00
     3.57973   1.000000000e+00
     3.57987   1.000000000e+00
     3.58001   1.000000000e+00
     3.58016   1.000000000e+00
     3.58030   1.000000000e+00
     3.58044   1.000000000e+00
     3.58058   1.000000000e+00
     3.58072   1.000000000e+00
     3.58087   1.000000000e+00
     3.58101   1.000000000e+00
     3.58115   1.000000000e+00
     3.58129   1.000000000e+00
     3.58144   1.000000000e+00
     3.58158   1.000000000e+00
     3.58172   1.000000000e+00
     3.58186   1.000000000e+00
     3.58201   1.000000000e+00
     3.58215   1.000000000e+00
     3.58229   1.000000000e+00
     3.58243   1.000000000e+00
     3.58258   1.000000000e+00
     3.58272   1.000000000e+00
     3.58286   1.000000000e+00
     3.58300   1.000000000e+00
     3.58315   1.000000000e+00
     3.58329   1.000000000e+00
     3.58343   1.000000000e+00
     3.58357   1.000000000e+00
     3.58372   1.000000000e+00
     3.58386   1.000000000e+00
     3.58400   1.000000000e+00
     3.58414   1.000000000e+00
     3.58428   1.000000000e+00
     3.58443   1.000000000e+00
     3.58457   1.000000000e+00
     3.58471   1.000000000e+00
     3.58485   1.000000000e+00
     3.58500   1.000000000e+00
     3.58514   1.000000000e+00
     3.58528   1.000000000e+00
     3.58542   1.000000000e+00
     3.58557   1.000000000e+00
     3.58571   1.000000000e+00
     3.58585   1.000000000e+00
     3.58599   1.000000000e+00
     3.58614   1.000000000e+00
     3.58628   1.000000000e+00
     3.58642   1.000000000e+00
     3.58656   1.000000000e+00
     3.58671   1.000000000e+00
     3.58685   1.000000000e+00
