# Wavelength      transmission
#         um          unitless
     1.20032   0.000000000e+00
     1.20057   0.000000000e+00
     1.20082   0.000000000e+00
     1.20107   0.000000000e+00
     1.20131   0.000000000e+00
     1.20156   0.000000000e+00
     1.20181   0.000000000e+00
     1.20206   0.000000000e+00
     1.20231   0.000000000e+00
     1.20256   0.000000000e+00
     1.20281   0.000000000e+00
     1.20305   0.000000000e+00
     1.20330   0.000000000e+00
     1.20355   0.000000000e+00
     1.20380   0.000000000e+00
     1.20405   0.000000000e+00
     1.20430   0.000000000e+00
     1.20455   0.000000000e+00
     1.20479   0.000000000e+00
     1.20504   0.000000000e+00
     1.20529   0.000000000e+00
     1.20554   0.000000000e+00
     1.20579   0.000000000e+00
     1.20604   0.000000000e+00
     1.20629   0.000000000e+00
     1.20653   0.000000000e+00
     1.20678   0.000000000e+00
     1.20703   0.000000000e+00
     1.20728   0.000000000e+00
     1.20753   0.000000000e+00
     1.20778   0.000000000e+00
     1.20803   0.000000000e+00
     1.20827   0.000000000e+00
     1.20852   0.000000000e+00
     1.20877   0.000000000e+00
     1.20902   0.000000000e+00
     1.20927   0.000000000e+00
     1.20952   0.000000000e+00
     1.20977   0.000000000e+00
     1.21002   0.000000000e+00
     1.21026   0.000000000e+00
     1.21051   0.000000000e+00
     1.21076   0.000000000e+00
     1.21101   0.000000000e+00
     1.21126   0.000000000e+00
     1.21151   0.000000000e+00
     1.21176   0.000000000e+00
     1.21200   0.000000000e+00
     1.21225   0.000000000e+00
     1.21250   0.000000000e+00
     1.21275   0.000000000e+00
     1.21300   1.000000000e+00
     1.21325   1.000000000e+00
     1.21350   1.000000000e+00
     1.21374   1.000000000e+00
     1.21399   1.000000000e+00
     1.21424   1.000000000e+00
     1.21449   1.000000000e+00
     1.21474   1.000000000e+00
     1.21499   1.000000000e+00
     1.21524   1.000000000e+00
     1.21548   1.000000000e+00
     1.21573   1.000000000e+00
     1.21598   1.000000000e+00
     1.21623   1.000000000e+00
     1.21648   1.000000000e+00
     1.21673   1.000000000e+00
     1.21698   1.000000000e+00
     1.21723   1.000000000e+00
     1.21747   1.000000000e+00
     1.21772   1.000000000e+00
     1.21797   1.000000000e+00
     1.21822   1.000000000e+00
     1.21847   1.000000000e+00
     1.21872   1.000000000e+00
     1.21897   1.000000000e+00
     1.21921   1.000000000e+00
     1.21946   1.000000000e+00
     1.21971   1.000000000e+00
     1.21996   1.000000000e+00
     1.22021   1.000000000e+00
     1.22046   1.000000000e+00
     1.22071   1.000000000e+00
     1.22095   1.000000000e+00
     1.22120   1.000000000e+00
     1.22145   1.000000000e+00
     1.22170   1.000000000e+00
     1.22195   1.000000000e+00
     1.22220   1.000000000e+00
     1.22245   1.000000000e+00
     1.22269   1.000000000e+00
     1.22294   1.000000000e+00
     1.22319   1.000000000e+00
     1.22344   1.000000000e+00
     1.22369   1.000000000e+00
     1.22394   1.000000000e+00
     1.22419   1.000000000e+00
     1.22443   1.000000000e+00
     1.22468   1.000000000e+00
     1.22493   1.000000000e+00
     1.22518   1.000000000e+00
     1.22543   1.000000000e+00
     1.22568   1.000000000e+00
     1.22593   1.000000000e+00
     1.22618   1.000000000e+00
     1.22642   1.000000000e+00
     1.22667   1.000000000e+00
     1.22692   1.000000000e+00
     1.22717   1.000000000e+00
     1.22742   1.000000000e+00
     1.22767   1.000000000e+00
     1.22792   1.000000000e+00
     1.22816   1.000000000e+00
     1.22841   1.000000000e+00
     1.22866   1.000000000e+00
     1.22891   1.000000000e+00
     1.22916   1.000000000e+00
     1.22941   1.000000000e+00
     1.22966   1.000000000e+00
     1.22990   1.000000000e+00
     1.23015   1.000000000e+00
     1.23040   1.000000000e+00
     1.23065   1.000000000e+00
     1.23090   1.000000000e+00
     1.23115   1.000000000e+00
     1.23140   1.000000000e+00
     1.23164   1.000000000e+00
     1.23189   1.000000000e+00
     1.23214   1.000000000e+00
     1.23239   1.000000000e+00
     1.23264   1.000000000e+00
     1.23289   1.000000000e+00
     1.23314   1.000000000e+00
     1.23338   1.000000000e+00
     1.23363   1.000000000e+00
     1.23388   1.000000000e+00
     1.23413   1.000000000e+00
     1.23438   1.000000000e+00
     1.23463   1.000000000e+00
     1.23488   1.000000000e+00
     1.23513   1.000000000e+00
     1.23537   1.000000000e+00
     1.23562   1.000000000e+00
     1.23587   1.000000000e+00
     1.23612   1.000000000e+00
     1.23637   1.000000000e+00
     1.23662   1.000000000e+00
     1.23687   1.000000000e+00
     1.23711   1.000000000e+00
     1.23736   1.000000000e+00
     1.23761   1.000000000e+00
     1.23786   1.000000000e+00
     1.23811   1.000000000e+00
     1.23836   1.000000000e+00
     1.23861   1.000000000e+00
     1.23885   1.000000000e+00
     1.23910   1.000000000e+00
     1.23935   1.000000000e+00
     1.23960   1.000000000e+00
     1.23985   1.000000000e+00
     1.24010   1.000000000e+00
     1.24035   1.000000000e+00
     1.24059   1.000000000e+00
     1.24084   1.000000000e+00
     1.24109   1.000000000e+00
     1.24134   1.000000000e+00
     1.24159   1.000000000e+00
     1.24184   1.000000000e+00
     1.24209   1.000000000e+00
     1.24234   1.000000000e+00
     1.24258   1.000000000e+00
     1.24283   1.000000000e+00
     1.24308   1.000000000e+00
     1.24333   1.000000000e+00
     1.24358   1.000000000e+00
     1.24383   1.000000000e+00
     1.24408   1.000000000e+00
     1.24432   1.000000000e+00
     1.24457   1.000000000e+00
     1.24482   1.000000000e+00
     1.24507   1.000000000e+00
     1.24532   1.000000000e+00
     1.24557   1.000000000e+00
     1.24582   1.000000000e+00
     1.24606   1.000000000e+00
     1.24631   1.000000000e+00
